시도교육청,교육지원청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,1학년,2학년,3학년,특수학급,순회학급,학급수(계),학생수(계),학급당학생수,학교급,mid,high,위도,경도
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001896,상도중학교,3,공립,6,7,5,1,0,19,487,25.6,mid,1,0,37.4943048,126.7603582
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001897,상동중학교,3,공립,4,4,3,1,0,12,306,25.5,mid,1,0,37.498265,126.7449875
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001898,상일중학교,3,공립,9,10,11,1,0,31,825,26.6,mid,1,0,37.5018151,126.7513766
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001899,석천중학교,3,공립,12,13,12,2,0,39,1035,26.5,mid,1,0,37.5096212,126.7571316
경기도교육청,경기도부천교육지원청,경기도 부천시 오정구,S090001900,성곡중학교,3,공립,6,6,6,2,0,20,479,24,mid,1,0,37.5177392,126.8153853
경기도교육청,경기도부천교육지원청,경기도 부천시 소사구,S090001901,성주중학교,3,공립,8,8,7,1,0,24,609,25.4,mid,1,0,37.480639,126.759637
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001902,소명여자중학교,3,사립,4,4,4,1,0,13,320,24.6,mid,1,0,37.487188,126.790712
경기도교육청,경기도부천교육지원청,경기도 부천시 소사구,S090001903,소사중학교,3,공립,5,5,6,2,0,18,454,25.2,mid,1,0,37.4699805,126.8021333
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001905,심원중학교,3,공립,7,7,8,2,0,24,595,24.8,mid,1,0,37.49915074,126.7829071
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001906,역곡중학교,3,공립,9,8,10,2,0,29,733,25.3,mid,1,0,37.4913204,126.8103986
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001911,중원중학교,3,공립,7,7,6,2,0,22,496,22.5,mid,1,0,37.5119533,126.7628272
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001912,중흥중학교,3,공립,9,9,8,0,0,26,714,27.5,mid,1,0,37.5064147,126.774468
경기도교육청,경기도성남교육지원청,경기도 성남시 중원구,S090002174,금광중학교,3,공립,7,7,6,1,0,21,582,27.7,mid,1,0,37.4471383,127.1710186
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002176,내정중학교,3,공립,10,11,10,0,0,31,1010,32.6,mid,1,0,37.3706751,127.1192847
경기도교육청,경기도성남교육지원청,경기도 성남시 중원구,S090002177,대원중학교,3,공립,3,3,2,0,0,8,179,22.4,mid,1,0,37.447268,127.172135
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002178,매송중학교,3,공립,5,6,5,0,0,16,477,29.8,mid,1,0,37.3971183,127.1227372
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002180,백현중학교,3,공립,9,8,7,1,0,25,788,31.5,mid,1,0,37.370804,127.110529
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002181,분당중학교,3,공립,4,5,4,1,0,14,393,28.1,mid,1,0,37.3607797,127.1107144
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002182,불곡중학교,3,공립,8,8,8,1,0,25,723,28.9,mid,1,0,37.3473394,127.1190764
경기도교육청,경기도성남교육지원청,경기도 성남시 수정구,S090002183,상원여자중학교,3,공립,3,4,4,0,0,11,242,22,mid,1,0,37.4,127.1
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002184,서현중학교,3,공립,11,12,12,1,0,36,1131,31.4,mid,1,0,37.3808116,127.1337241
경기도교육청,경기도성남교육지원청,경기도 성남시 중원구,S090002185,성남동중학교,3,공립,8,8,7,2,0,25,577,23.1,mid,1,0,37.448438,127.1645067
경기도교육청,경기도성남교육지원청,경기도 성남시 수정구,S090002186,성남문원중학교,3,공립,3,3,2,1,0,9,167,18.6,mid,1,0,37.4610944,127.1571695
경기도교육청,경기도성남교육지원청,경기도 성남시 수정구,S090002187,성남서중학교,3,공립,7,7,6,2,1,23,536,23.3,mid,1,0,37.4486924,127.1541029
경기도교육청,경기도성남교육지원청,경기도 성남시 수정구,S090002188,성남여자중학교,3,공립,5,6,5,2,0,18,407,22.6,mid,1,0,37.4502623,127.1425587
경기도교육청,경기도성남교육지원청,경기도 성남시 중원구,S090002189,성남중학교,3,공립,3,3,3,0,0,9,188,20.9,mid,1,0,37.4323232,127.1442091
경기도교육청,경기도성남교육지원청,경기도 성남시 중원구,S090002190,동광중학교,3,사립,3,3,3,1,0,10,204,20.4,mid,1,0,37.433763,127.143035
경기도교육청,경기도성남교육지원청,경기도 성남시 중원구,S090002191,성일중학교,3,사립,8,8,8,0,0,24,679,28.3,mid,1,0,37.434705,127.144931
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002192,송림중학교,3,사립,3,4,3,0,0,10,300,30,mid,1,0,37.391753,127.131695
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002193,수내중학교,3,공립,11,11,11,0,0,33,1078,32.7,mid,1,0,37.370414,127.126212
경기도교육청,경기도성남교육지원청,경기도 성남시 중원구,S090002194,숭신여자중학교,3,사립,3,3,3,0,0,9,189,21,mid,1,0,37.449641,127.168824
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002195,야탑중학교,3,공립,9,10,9,1,0,29,860,29.7,mid,1,0,37.416502,127.131634
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002196,양영중학교,3,공립,8,7,7,0,0,22,694,31.5,mid,1,0,37.3766454,127.1357865
경기도교육청,경기도성남교육지원청,경기도 성남시 중원구,S090002198,영성중학교,3,공립,3,3,3,2,0,11,225,20.5,mid,1,0,37.4273489,127.146634
경기도교육청,경기도성남교육지원청,경기도 성남시 중원구,S090002199,은행중학교,3,공립,4,5,4,2,0,15,353,23.5,mid,1,0,37.4576513,127.1723
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002200,이매중학교,3,공립,10,9,10,0,0,29,950,32.8,mid,1,0,37.402015,127.126097
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002201,장안중학교,3,공립,4,5,3,0,0,12,344,28.7,mid,1,0,37.371571,127.1465731
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002202,정자중학교,3,공립,3,4,4,1,0,12,342,28.5,mid,1,0,37.36593,127.11089
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002205,청솔중학교,3,공립,1,1,1,1,0,4,42,10.5,mid,1,0,37.3559802,127.110852
경기도교육청,경기도성남교육지원청,경기도 성남시 수정구,S090002206,태평중학교,3,공립,7,8,8,2,0,25,623,24.9,mid,1,0,37.4463126,127.1285852
경기도교육청,경기도성남교육지원청,경기도 성남시 수정구,S090002207,풍생중학교,3,사립,5,5,5,0,0,15,428,28.5,mid,1,0,37.434942,127.131396
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090002208,하탑중학교,3,공립,5,6,5,2,0,18,441,24.5,mid,1,0,37.4092757,127.1373104
경기도교육청,경기도수원교육지원청,경기도 수원시 권선구,S090002406,고색중학교,3,공립,4,3,4,2,1,14,261,18.6,mid,1,0,37.253573,126.981234
경기도교육청,경기도수원교육지원청,경기도 수원시 권선구,S090002407,곡선중학교,3,공립,3,4,4,2,1,14,300,21.4,mid,1,0,37.2545671,127.0234937
경기도교육청,경기도수원교육지원청,경기도 수원시 권선구,S090002408,구운중학교,3,공립,7,7,7,1,0,22,547,24.9,mid,1,0,37.2767794,126.9773422
경기도교육청,경기도수원교육지원청,경기도 수원시 권선구,S090002409,권선중학교,3,공립,4,4,4,1,0,13,264,20.3,mid,1,0,37.2488339,127.0171141
경기도교육청,경기도수원교육지원청,경기도 수원시 권선구,S090002410,남수원중학교,3,공립,11,10,10,1,0,32,973,30.4,mid,1,0,37.2520119,127.0336019
경기도교육청,경기도수원교육지원청,경기도 수원시 장안구,S090002411,대평중학교,3,공립,12,13,13,1,0,39,1176,30.2,mid,1,0,37.2974064,126.989837
경기도교육청,경기도수원교육지원청,경기도 수원시 팔달구,S090002412,동성중학교,3,공립,6,6,7,0,0,19,529,27.8,mid,1,0,37.2847496,127.0350014
경기도교육청,경기도수원교육지원청,경기도 수원시 영통구,S090002413,동수원중학교,3,공립,8,7,7,0,0,22,625,28.4,mid,1,0,37.2712651,127.0546852
경기도교육청,경기도수원교육지원청,경기도 수원시 영통구,S090002414,매원중학교,3,공립,6,5,7,1,0,19,483,25.4,mid,1,0,37.266571,127.045217
경기도교육청,경기도수원교육지원청,경기도 수원시 팔달구,S090002415,매향중학교,3,사립,6,6,4,0,0,16,440,27.5,mid,1,0,37.285545,127.019116
경기도교육청,경기도수원교육지원청,경기도 수원시 영통구,S090002416,매현중학교,3,공립,6,6,5,1,0,18,460,25.6,mid,1,0,37.254883,127.0429958
경기도교육청,경기도수원교육지원청,경기도 수원시 장안구,S090002417,명인중학교,3,공립,10,10,10,1,1,32,915,28.6,mid,1,0,37.2921973,126.9930582
경기도교육청,경기도수원교육지원청,경기도 수원시 장안구,S090002418,송원중학교,3,공립,5,4,3,0,0,12,321,26.8,mid,1,0,37.2971995,127.0028159
경기도교육청,경기도수원교육지원청,경기도 수원시 영통구,S090002419,산남중학교,3,공립,8,10,10,2,1,31,763,24.6,mid,1,0,37.268822,127.051103
경기도교육청,경기도수원교육지원청,경기도 수원시 팔달구,S090002420,삼일중학교,3,사립,6,5,5,0,0,16,446,27.9,mid,1,0,37.2841941,127.0191077
경기도교육청,경기도수원교육지원청,경기도 수원시 장안구,S090002421,창용중학교,3,공립,1,1,1,1,0,4,67,16.8,mid,1,0,37.293507,127.029864
경기도교육청,경기도수원교육지원청,경기도 수원시 장안구,S090002422,수성중학교,3,공립,4,5,5,0,0,14,390,27.9,mid,1,0,37.294794,127.0121962
경기도교육청,경기도수원교육지원청,경기도 수원시 장안구,S090002423,수원북중학교,3,공립,3,3,3,2,0,11,231,21,mid,1,0,37.2954458,127.0210543
경기도교육청,경기도수원교육지원청,경기도 수원시 팔달구,S090002424,수원제일중학교,3,공립,2,2,3,2,0,9,135,15,mid,1,0,37.2871384,127.0007732
경기도교육청,경기도수원교육지원청,경기도 수원시 팔달구,S090002425,수원중학교,3,사립,7,7,7,0,0,21,662,31.5,mid,1,0,37.26768405,127.0181373
경기도교육청,경기도수원교육지원청,경기도 수원시 장안구,S090002426,수일여자중학교,3,공립,4,4,5,0,0,13,344,26.5,mid,1,0,37.308145,127.0076721
경기도교육청,경기도수원교육지원청,경기도 수원시 장안구,S090002427,수일중학교,3,공립,2,3,3,0,0,8,170,21.3,mid,1,0,37.3102355,127.00243
경기도교육청,경기도수원교육지원청,경기도 수원시 팔달구,S090002428,숙지중학교,3,공립,7,7,7,3,0,24,614,25.6,mid,1,0,37.2,126.9
경기도교육청,경기도수원교육지원청,경기도 수원시 영통구,S090002429,연무중학교,3,공립,12,11,10,1,0,34,1055,31,mid,1,0,37.2925651,127.0519255
경기도교육청,경기도수원교육지원청,경기도 수원시 영통구,S090002430,영덕중학교,3,공립,10,10,10,1,1,32,910,28.4,mid,1,0,37.2585417,127.0728875
경기도교육청,경기도수원교육지원청,경기도 수원시 팔달구,S090002431,영복여자중학교,3,사립,5,6,5,0,0,16,472,29.5,mid,1,0,37.285622,127.003097
경기도교육청,경기도수원교육지원청,경기도 수원시 권선구,S090002432,영신중학교,3,사립,8,8,9,0,0,25,634,25.4,mid,1,0,37.241882,126.966949
경기도교육청,경기도수원교육지원청,경기도 수원시 영통구,S090002433,영일중학교,3,공립,6,8,8,0,0,22,635,28.9,mid,1,0,37.2497429,127.0757625
경기도교육청,경기도수원교육지원청,경기도 수원시 영통구,S090002434,영통중학교,3,공립,3,3,3,1,0,10,233,23.3,mid,1,0,37.253675,127.06365
경기도교육청,경기도수원교육지원청,경기도 수원시 영통구,S090002435,원천중학교,3,공립,2,2,2,1,0,7,114,16.3,mid,1,0,37.27665,127.048693
경기도교육청,경기도수원교육지원청,경기도 수원시 장안구,S090002436,율전중학교,3,공립,3,4,5,1,0,13,329,25.3,mid,1,0,37.3033743,126.9664023
경기도교육청,경기도수원교육지원청,경기도 수원시 팔달구,S090002437,율현중학교,3,공립,9,10,10,0,0,29,771,26.6,mid,1,0,37.2861602,126.9826418
경기도교육청,경기도수원교육지원청,경기도 수원시 장안구,S090002438,이목중학교,3,공립,9,10,10,1,0,30,838,27.9,mid,1,0,37.318349,126.982354
경기도교육청,경기도수원교육지원청,경기도 수원시 장안구,S090002439,천천중학교,3,공립,10,12,10,0,0,32,983,30.7,mid,1,0,37.3002369,126.9810891
경기도교육청,경기도수원교육지원청,경기도 수원시 영통구,S090002440,청명중학교,3,공립,7,5,5,1,0,18,528,29.3,mid,1,0,37.2618917,127.0780625
경기도교육청,경기도수원교육지원청,경기도 수원시 영통구,S090002441,태장중학교,3,공립,7,7,6,2,0,22,600,27.3,mid,1,0,37.2490303,127.0651829
경기도교육청,경기도수원교육지원청,경기도 수원시 권선구,S090002442,호매실중학교,3,공립,10,8,8,1,0,27,795,29.4,mid,1,0,37.2684972,126.9554553
경기도교육청,경기도수원교육지원청,경기도 수원시 권선구,S090002443,화홍중학교,3,공립,9,9,9,0,0,27,889,32.9,mid,1,0,37.246778,127.034962
경기도교육청,경기도안산교육지원청,경기도 안산시 상록구,S090002683,경수중학교,3,공립,6,6,5,2,0,19,452,23.8,mid,1,0,37.3270119,126.851328
